Run,Array Size,Sorting Algorithm,Execution Time (ns),,,Sorting Algorithm,Median,Standard Deviation
9,5000,BubbleSortWhileNeeded,93019276,,,,,
9,10000,QuickSortGPT,159877265,,,,,
9,10000,SelectionSortGPT,96471743,,,,,
9,10000,BubbleSortUntilNoChange,377481824,,,,,
9,10000,BubbleSortWhileNeeded,221693858,,,,,
9,20000,QuickSortGPT,697723840,,,,,
9,20000,SelectionSortGPT,467084277,,,,,
9,20000,BubbleSortUntilNoChange,1772164829,,,,,
9,20000,BubbleSortWhileNeeded,1407526998,,,,,
10,100,QuickSortGPT,646812,,,,,
10,100,SelectionSortGPT,376333,,,,,
10,100,BubbleSortUntilNoChange,703727,,,,,
10,100,BubbleSortWhileNeeded,384626,,,,,
10,1000,QuickSortGPT,6733195,,,,,
10,1000,SelectionSortGPT,5677794,,,,,
10,1000,BubbleSortUntilNoChange,14086760,,,,,
10,1000,BubbleSortWhileNeeded,10153835,,,,,
10,5000,QuickSortGPT,52063374,,,,,
10,5000,SelectionSortGPT,47092133,,,,,
10,5000,BubbleSortUntilNoChange,113281262,,,,,
10,5000,BubbleSortWhileNeeded,88913287,,,,,
10,10000,QuickSortGPT,150028720,,,,,
10,10000,SelectionSortGPT,94454268,,,,,
10,10000,BubbleSortUntilNoChange,372149079,,,,,
10,10000,BubbleSortWhileNeeded,224245820,,,,,
10,20000,QuickSortGPT,670388176,,,,,
10,20000,SelectionSortGPT,467456590,,,,,
10,20000,BubbleSortUntilNoChange,1838347921,,,,,
10,20000,BubbleSortWhileNeeded,1333401646,,,,,
11,100,QuickSortGPT,647163,,,,,
11,100,SelectionSortGPT,384919,,,,,
11,100,BubbleSortUntilNoChange,662958,,,,,
11,100,BubbleSortWhileNeeded,365706,,,,,
11,1000,QuickSortGPT,6795140,,,,,
11,1000,SelectionSortGPT,6050248,,,,,
11,1000,BubbleSortUntilNoChange,13472356,,,,,
11,1000,BubbleSortWhileNeeded,10506715,,,,,
11,5000,QuickSortGPT,51127084,,,,,
11,5000,SelectionSortGPT,45932179,,,,,
11,5000,BubbleSortUntilNoChange,120410033,,,,,
11,5000,BubbleSortWhileNeeded,89432454,,,,,
11,10000,QuickSortGPT,153346436,,,,,
11,10000,SelectionSortGPT,96803786,,,,,
11,10000,BubbleSortUntilNoChange,378862291,,,,,
11,10000,BubbleSortWhileNeeded,222144785,,,,,
11,20000,QuickSortGPT,699674650,,,,,
11,20000,SelectionSortGPT,448372205,,,,,
11,20000,BubbleSortUntilNoChange,1887638564,,,,,
11,20000,BubbleSortWhileNeeded,1354444211,,,,,
