Run,Array Size,Sorting Algorithm,Execution Time (ns),,,Sorting Algorithm,Median,Standard Deviation
11,20000,BubbleSortUntilNoChange,476201,,,,,
11,20000,BubbleSortWhileNeeded,407042,,,,,
12,100,QuickSortGPT,323671,,,,,
12,100,SelectionSortGPT,129528,,,,,
12,100,BubbleSortUntilNoChange,5907,,,,,
12,100,BubbleSortWhileNeeded,4038,,,,,
12,1000,QuickSortGPT,12267604,,,,,
12,1000,SelectionSortGPT,3501832,,,,,
12,1000,BubbleSortUntilNoChange,78903,,,,,
12,1000,BubbleSortWhileNeeded,23024,,,,,
12,5000,QuickSortGPT,18839432,,,,,
12,5000,SelectionSortGPT,10582671,,,,,
12,5000,BubbleSortUntilNoChange,115455,,,,,
12,5000,BubbleSortWhileNeeded,132252,,,,,
12,10000,QuickSortGPT,88288016,,,,,
12,10000,SelectionSortGPT,28022277,,,,,
12,10000,BubbleSortUntilNoChange,247225,,,,,
12,10000,BubbleSortWhileNeeded,220141,,,,,
12,20000,QuickSortGPT,333597482,,,,,
12,20000,SelectionSortGPT,113529160,,,,,
12,20000,BubbleSortUntilNoChange,471919,,,,,
12,20000,BubbleSortWhileNeeded,407141,,,,,
13,100,QuickSortGPT,320019,,,,,
13,100,SelectionSortGPT,132863,,,,,
13,100,BubbleSortUntilNoChange,5853,,,,,
13,100,BubbleSortWhileNeeded,4112,,,,,
13,1000,QuickSortGPT,13432942,,,,,
13,1000,SelectionSortGPT,3391926,,,,,
13,1000,BubbleSortUntilNoChange,76900,,,,,
13,1000,BubbleSortWhileNeeded,22703,,,,,
13,5000,QuickSortGPT,18696951,,,,,
13,5000,SelectionSortGPT,10569597,,,,,
13,5000,BubbleSortUntilNoChange,113957,,,,,
13,5000,BubbleSortWhileNeeded,122765,,,,,
13,10000,QuickSortGPT,85945778,,,,,
13,10000,SelectionSortGPT,28748030,,,,,
13,10000,BubbleSortUntilNoChange,256003,,,,,
13,10000,BubbleSortWhileNeeded,219539,,,,,
13,20000,QuickSortGPT,333770653,,,,,
13,20000,SelectionSortGPT,112691316,,,,,
13,20000,BubbleSortUntilNoChange,518669,,,,,
13,20000,BubbleSortWhileNeeded,419246,,,,,
14,100,QuickSortGPT,320957,,,,,
14,100,SelectionSortGPT,130421,,,,,
14,100,BubbleSortUntilNoChange,5441,,,,,
14,100,BubbleSortWhileNeeded,4021,,,,,
14,1000,QuickSortGPT,13466213,,,,,
14,1000,SelectionSortGPT,3275773,,,,,
14,1000,BubbleSortUntilNoChange,81635,,,,,
14,1000,BubbleSortWhileNeeded,22995,,,,,
14,5000,QuickSortGPT,18362762,,,,,
14,5000,SelectionSortGPT,11608797,,,,,
14,5000,BubbleSortUntilNoChange,123611,,,,,
14,5000,BubbleSortWhileNeeded,130414,,,,,
14,10000,QuickSortGPT,84225242,,,,,
14,10000,SelectionSortGPT,28903954,,,,,
14,10000,BubbleSortUntilNoChange,245473,,,,,
14,10000,BubbleSortWhileNeeded,202222,,,,,
14,20000,QuickSortGPT,314628261,,,,,
14,20000,SelectionSortGPT,111947119,,,,,
14,20000,BubbleSortUntilNoChange,481127,,,,,
14,20000,BubbleSortWhileNeeded,420945,,,,,
15,100,QuickSortGPT,320958,,,,,
15,100,SelectionSortGPT,132171,,,,,
15,100,BubbleSortUntilNoChange,5431,,,,,
15,100,BubbleSortWhileNeeded,4016,,,,,
15,1000,QuickSortGPT,12254621,,,,,
15,1000,SelectionSortGPT,3344051,,,,,
15,1000,BubbleSortUntilNoChange,77207,,,,,
15,1000,BubbleSortWhileNeeded,23602,,,,,
15,5000,QuickSortGPT,19509006,,,,,
15,5000,SelectionSortGPT,10659529,,,,,
15,5000,BubbleSortUntilNoChange,114891,,,,,
15,5000,BubbleSortWhileNeeded,126330,,,,,
15,10000,QuickSortGPT,88074896,,,,,
15,10000,SelectionSortGPT,28276899,,,,,
15,10000,BubbleSortUntilNoChange,260512,,,,,
15,10000,BubbleSortWhileNeeded,220011,,,,,
15,20000,QuickSortGPT,332519840,,,,,
15,20000,SelectionSortGPT,108500375,,,,,
15,20000,BubbleSortUntilNoChange,475161,,,,,
15,20000,BubbleSortWhileNeeded,404891,,,,,
16,100,QuickSortGPT,304961,,,,,
16,100,SelectionSortGPT,133751,,,,,
16,100,BubbleSortUntilNoChange,5533,,,,,
16,100,BubbleSortWhileNeeded,4205,,,,,
16,1000,QuickSortGPT,13250518,,,,,
16,1000,SelectionSortGPT,3441279,,,,,
16,1000,BubbleSortUntilNoChange,78793,,,,,
16,1000,BubbleSortWhileNeeded,23598,,,,,
16,5000,QuickSortGPT,18773446,,,,,
16,5000,SelectionSortGPT,10603396,,,,,
16,5000,BubbleSortUntilNoChange,119594,,,,,
16,5000,BubbleSortWhileNeeded,130667,,,,,
16,10000,QuickSortGPT,86832243,,,,,
16,10000,SelectionSortGPT,26840993,,,,,
16,10000,BubbleSortUntilNoChange,260766,,,,,
16,10000,BubbleSortWhileNeeded,217866,,,,,
16,20000,QuickSortGPT,335369920,,,,,
16,20000,SelectionSortGPT,107461388,,,,,
16,20000,BubbleSortUntilNoChange,520689,,,,,
16,20000,BubbleSortWhileNeeded,420649,,,,,
17,100,QuickSortGPT,329512,,,,,
17,100,SelectionSortGPT,126391,,,,,
17,100,BubbleSortUntilNoChange,5826,,,,,
17,100,BubbleSortWhileNeeded,4140,,,,,
17,1000,QuickSortGPT,13289424,,,,,
17,1000,SelectionSortGPT,3446131,,,,,
17,1000,BubbleSortUntilNoChange,79097,,,,,
17,1000,BubbleSortWhileNeeded,23791,,,,,
17,5000,QuickSortGPT,19589019,,,,,
17,5000,SelectionSortGPT,11044258,,,,,
17,5000,BubbleSortUntilNoChange,115321,,,,,
17,5000,BubbleSortWhileNeeded,127237,,,,,
17,10000,QuickSortGPT,83495572,,,,,
17,10000,SelectionSortGPT,27943027,,,,,
17,10000,BubbleSortUntilNoChange,246199,,,,,
17,10000,BubbleSortWhileNeeded,214582,,,,,
17,20000,QuickSortGPT,327052932,,,,,
17,20000,SelectionSortGPT,106016680,,,,,
17,20000,BubbleSortUntilNoChange,488956,,,,,
17,20000,BubbleSortWhileNeeded,434617,,,,,
18,100,QuickSortGPT,324890,,,,,
18,100,SelectionSortGPT,128920,,,,,
18,100,BubbleSortUntilNoChange,5484,,,,,
18,100,BubbleSortWhileNeeded,4210,,,,,
18,1000,QuickSortGPT,12555075,,,,,
18,1000,SelectionSortGPT,3556220,,,,,
18,1000,BubbleSortUntilNoChange,79724,,,,,
18,1000,BubbleSortWhileNeeded,23059,,,,,
18,5000,QuickSortGPT,19288298,,,,,
18,5000,SelectionSortGPT,10979183,,,,,
18,5000,BubbleSortUntilNoChange,118838,,,,,
18,5000,BubbleSortWhileNeeded,124520,,,,,
18,10000,QuickSortGPT,89097183,,,,,
18,10000,SelectionSortGPT,27524745,,,,,
18,10000,BubbleSortUntilNoChange,250583,,,,,
18,10000,BubbleSortWhileNeeded,214773,,,,,
18,20000,QuickSortGPT,315108087,,,,,
18,20000,SelectionSortGPT,107775603,,,,,
18,20000,BubbleSortUntilNoChange,508764,,,,,
18,20000,BubbleSortWhileNeeded,409044,,,,,
19,100,QuickSortGPT,313119,,,,,
19,100,SelectionSortGPT,130376,,,,,
19,100,BubbleSortUntilNoChange,5849,,,,,
19,100,BubbleSortWhileNeeded,4031,,,,,
19,1000,QuickSortGPT,13280135,,,,,
19,1000,SelectionSortGPT,3376639,,,,,
19,1000,BubbleSortUntilNoChange,75702,,,,,
19,1000,BubbleSortWhileNeeded,22481,,,,,
19,5000,QuickSortGPT,19693259,,,,,
19,5000,SelectionSortGPT,11592032,,,,,
19,5000,BubbleSortUntilNoChange,123217,,,,,
19,5000,BubbleSortWhileNeeded,128068,,,,,
19,10000,QuickSortGPT,86717853,,,,,
19,10000,SelectionSortGPT,27059146,,,,,
19,10000,BubbleSortUntilNoChange,249186,,,,,
19,10000,BubbleSortWhileNeeded,207752,,,,,
19,20000,QuickSortGPT,323776136,,,,,
19,20000,SelectionSortGPT,106605831,,,,,
19,20000,BubbleSortUntilNoChange,508412,,,,,
19,20000,BubbleSortWhileNeeded,440687,,,,,
20,100,QuickSortGPT,327626,,,,,
20,100,SelectionSortGPT,131523,,,,,
20,100,BubbleSortUntilNoChange,5698,,,,,
20,100,BubbleSortWhileNeeded,4158,,,,,
20,1000,QuickSortGPT,13259197,,,,,
20,1000,SelectionSortGPT,3525689,,,,,
20,1000,BubbleSortUntilNoChange,79991,,,,,
20,1000,BubbleSortWhileNeeded,21828,,,,,
20,5000,QuickSortGPT,18975726,,,,,
20,5000,SelectionSortGPT,11068538,,,,,
20,5000,BubbleSortUntilNoChange,114547,,,,,
20,5000,BubbleSortWhileNeeded,121965,,,,,
20,10000,QuickSortGPT,87075036,,,,,
20,10000,SelectionSortGPT,27837957,,,,,
20,10000,BubbleSortUntilNoChange,251513,,,,,
20,10000,BubbleSortWhileNeeded,208100,,,,,
20,20000,QuickSortGPT,320559634,,,,,
20,20000,SelectionSortGPT,115112421,,,,,
20,20000,BubbleSortUntilNoChange,478435,,,,,
20,20000,BubbleSortWhileNeeded,428234,,,,,
